npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  9/12/2026 11:25:43 PM ::1 GET /
 HTTP  9/12/2026 11:25:43 PM ::1 Returned 200 in 331 ms
 HTTP  9/12/2026 11:25:43 PM ::1 GET /style.css
 HTTP  9/12/2026 11:25:43 PM ::1 Returned 200 in 2 ms
 HTTP  9/12/2026 11:25:43 PM ::1 GET /app.js
 HTTP  9/12/2026 11:25:43 PM ::1 Returned 200 in 4 ms
 HTTP  9/12/2026 11:25:45 PM ::1 POST /api/chat
 HTTP  9/12/2026 11:25:45 PM ::1 Returned 404 in 1 ms
 HTTP  9/12/2026 11:25:47 PM ::1 POST /api/chat
 HTTP  9/12/2026 11:25:47 PM ::1 Returned 404 in 1 ms
